(-0.5+0j)	(-0.0478943021251+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
(-0.0478943021251+0j)	(8.46851120217+0j)	(-0.0677327704665+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	(-0.0677327704665+0j)	(17.4370224043+0j)	(-0.0829553631848+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	(-0.0829553631848+0j)	(26.4055336065+0j)	(-0.0957886042501+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	(-0.0957886042501+0j)	(35.3740448087+0j)	(-0.107094916859+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	(-0.107094916859+0j)	(44.3425560108+0j)	(-0.117316606062+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	(-0.117316606062+0j)	(53.311067213+0j)	(-0.126716409134+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	(-0.126716409134+0j)	(62.2795784152+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	(8.96851120217+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(17.9370224043+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(26.9055336065+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(35.8740448087+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(44.8425560108+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(53.811067213+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(62.7795784152+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	(-0.5+0j)	(0.0478943021251+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	(0.0478943021251+0j)	(8.46851120217+0j)	(0.0677327704665+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	(0.0677327704665+0j)	(17.4370224043+0j)	(0.0829553631848+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	(0.0829553631848+0j)	(26.4055336065+0j)	(0.0957886042501+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	(0.0957886042501+0j)	(35.3740448087+0j)	(0.107094916859+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	(0.107094916859+0j)	(44.3425560108+0j)	(0.117316606062+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	
0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	(0.117316606062+0j)	(53.311067213+0j)	(0.126716409134+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.257923082993+0j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	
